Run,Temps,A,B,AB,ABA,ABAB 
0,0,5,5,0.5,0,0
0,0.00193007,4.99,5,0.49,0.01,0
0,0.00482423,4.98,5,0.48,0.02,0
0,0.00557658,4.97,5,0.47,0.03,0
0,0.00815238,4.96,5,0.46,0.04,0
0,0.0116139,4.95,5,0.45,0.05,0
0,0.0123891,4.94,5,0.44,0.06,0
0,0.0131973,4.93,5,0.43,0.07,0
0,0.0143711,4.92,5,0.42,0.08,0
0,0.014406,4.91,5,0.41,0.09,0
0,0.0173784,4.92,5,0.41,0.09,0
0,0.0224642,4.91,5,0.4,0.1,0
0,0.0227903,4.9,5,0.4,0.1,0
0,0.0237695,4.9,4.99,0.4,0.09,0.01
0,0.0263571,4.89,4.99,0.39,0.1,0.01
0,0.0266006,4.88,4.99,0.38,0.11,0.01
0,0.0268973,4.88,4.98,0.38,0.1,0.02
0,0.0270444,4.87,4.98,0.37,0.11,0.02
0,0.033738,4.88,4.98,0.38,0.1,0.02
0,0.035833,4.88,4.97,0.38,0.09,0.03
0,0.0408525,4.87,4.97,0.37,0.1,0.03
0,0.0413511,4.86,4.97,0.36,0.11,0.03
0,0.0460836,4.86,4.96,0.36,0.11,0.03
0,0.0494575,4.85,4.96,0.36,0.11,0.03
0,0.0587242,4.84,4.96,0.36,0.11,0.03
0,0.065845,4.83,4.96,0.36,0.11,0.03
0,0.0675439,4.83,4.96,0.34,0.11,0.04
0,0.0677985,4.82,4.96,0.33,0.12,0.04
0,0.0709938,4.81,4.96,0.33,0.12,0.04
0,0.0743444,4.8,4.96,0.32,0.13,0.04
0,0.0813333,4.8,4.95,0.32,0.12,0.05
0,0.081459,4.8,4.94,0.32,0.11,0.06
0,0.0835114,4.8,4.94,0.3,0.11,0.07
0,0.0836135,4.79,4.94,0.29,0.12,0.07
0,0.0850571,4.79,4.93,0.29,0.11,0.08
0,0.0854836,4.79,4.92,0.29,0.11,0.08
0,0.0861237,4.78,4.92,0.28,0.12,0.08
0,0.0904,4.78,4.91,0.28,0.12,0.08
0,0.0909641,4.78,4.92,0.28,0.13,0.07
0,0.0930878,4.77,4.92,0.27,0.14,0.07
0,0.0942155,4.77,4.91,0.27,0.14,0.07
0,0.0960757,4.77,4.9,0.27,0.13,0.08
0,0.10464,4.78,4.9,0.27,0.13,0.08
0,0.105384,4.77,4.9,0.26,0.14,0.08
0,0.1055,4.76,4.9,0.25,0.15,0.08
0,0.107608,4.75,4.9,0.24,0.16,0.08
0,0.107962,4.74,4.9,0.24,0.16,0.08
0,0.11891,4.74,4.89,0.24,0.15,0.09
0,0.122677,4.74,4.88,0.24,0.14,0.1
0,0.122894,4.73,4.88,0.23,0.15,0.1
0,0.138164,4.72,4.88,0.22,0.16,0.1
0,0.148507,4.71,4.88,0.22,0.16,0.1
0,0.150063,4.71,4.87,0.22,0.15,0.11
0,0.150913,4.7,4.87,0.21,0.16,0.11
0,0.153043,4.69,4.87,0.21,0.16,0.11
0,0.154339,4.68,4.87,0.2,0.17,0.11
0,0.154402,4.67,4.87,0.2,0.17,0.11
0,0.156048,4.67,4.86,0.2,0.16,0.12
0,0.156073,4.66,4.86,0.19,0.17,0.12
0,0.160438,4.66,4.87,0.19,0.18,0.11
0,0.162623,4.66,4.86,0.19,0.17,0.12
0,0.164231,4.66,4.85,0.19,0.16,0.13
0,0.165956,4.66,4.86,0.19,0.17,0.12
0,0.165984,4.66,4.86,0.17,0.17,0.13
0,0.168782,4.65,4.86,0.17,0.17,0.13
0,0.172299,4.64,4.86,0.17,0.17,0.13
0,0.17755,4.64,4.85,0.17,0.16,0.14
0,0.179177,4.64,4.86,0.17,0.17,0.13
0,0.180336,4.64,4.85,0.17,0.16,0.14
0,0.180585,4.64,4.84,0.17,0.15,0.15
0,0.190807,4.63,4.84,0.16,0.16,0.15
0,0.195348,4.63,4.85,0.16,0.16,0.15
0,0.198583,4.62,4.85,0.16,0.16,0.15
0,0.199015,4.62,4.84,0.16,0.15,0.16
0,0.20031,4.62,4.83,0.16,0.14,0.17
0,0.211096,4.62,4.82,0.16,0.14,0.17
0,0.211366,4.61,4.82,0.16,0.14,0.17
0,0.211529,4.61,4.82,0.18,0.14,0.16
0,0.213989,4.6,4.82,0.17,0.15,0.16
0,0.215444,4.6,4.81,0.17,0.14,0.17
0,0.217289,4.59,4.81,0.16,0.15,0.17
0,0.217492,4.59,4.8,0.16,0.14,0.18
0,0.220267,4.58,4.8,0.15,0.15,0.18
0,0.221587,4.58,4.81,0.15,0.16,0.17
0,0.222277,4.57,4.81,0.14,0.17,0.17
0,0.226026,4.56,4.81,0.14,0.17,0.17
0,0.229197,4.56,4.8,0.14,0.17,0.17
0,0.235138,4.56,4.79,0.14,0.17,0.17
0,0.241853,4.57,4.79,0.15,0.16,0.17
0,0.244538,4.56,4.79,0.15,0.16,0.17
0,0.245832,4.55,4.79,0.15,0.16,0.17
0,0.248619,4.54,4.79,0.14,0.17,0.17
0,0.25454,4.53,4.79,0.13,0.18,0.17
0,0.260025,4.53,4.78,0.13,0.18,0.17
0,0.265308,4.52,4.78,0.13,0.18,0.17
0,0.267461,4.51,4.78,0.12,0.19,0.17
0,0.267628,4.5,4.78,0.12,0.19,0.17
0,0.283153,4.49,4.78,0.12,0.19,0.17
0,0.286568,4.5,4.78,0.13,0.18,0.17
0,0.28745,4.5,4.77,0.13,0.17,0.18
0,0.28966,4.5,4.76,0.13,0.16,0.19
0,0.296392,4.5,4.75,0.13,0.15,0.2
0,0.301521,4.5,4.76,0.13,0.16,0.19
0,0.302758,4.5,4.75,0.13,0.15,0.2
0,0.304433,4.49,4.75,0.12,0.16,0.2
0,0.305423,4.49,4.76,0.12,0.16,0.2
0,0.307324,4.48,4.76,0.11,0.17,0.2
0,0.308951,4.48,4.77,0.11,0.18,0.19
0,0.316903,4.49,4.77,0.12,0.17,0.19
0,0.323444,4.5,4.77,0.13,0.16,0.19
0,0.323581,4.5,4.76,0.13,0.15,0.2
0,0.324574,4.5,4.75,0.13,0.14,0.21
0,0.327156,4.5,4.76,0.13,0.14,0.21
0,0.334813,4.49,4.76,0.12,0.15,0.21
0,0.338165,4.48,4.76,0.11,0.16,0.21
0,0.341622,4.48,4.75,0.11,0.16,0.21
0,0.346179,4.48,4.76,0.11,0.16,0.21
0,0.357663,4.48,4.77,0.11,0.17,0.2
0,0.36015,4.48,4.76,0.11,0.16,0.21
0,0.365033,4.47,4.76,0.11,0.16,0.21
0,0.372451,4.46,4.76,0.11,0.16,0.21
0,0.37825,4.46,4.75,0.11,0.15,0.22
0,0.383404,4.47,4.75,0.11,0.15,0.22
