Run,Temps,A,B 
0,0,1,1
0,0.00774962,1,0.998
0,0.0113692,1.002,0.998
0,0.0125807,1.004,0.998
0,0.0145973,1.004,1
0,0.0147395,1.004,0.998
0,0.0169593,1.002,0.998
0,0.0185918,1.002,1
0,0.0201461,1.002,0.998
0,0.0452029,1.002,0.996
0,0.0655634,1,0.996
0,0.0699959,0.998,0.996
0,0.0766798,0.996,0.996
0,0.0855071,0.994,0.996
0,0.0956003,0.994,0.994
0,0.100909,0.992,0.994
0,0.103664,0.994,0.994
0,0.112946,0.996,0.994
0,0.117493,0.996,0.992
0,0.117821,0.996,0.994
0,0.14295,0.996,0.996
0,0.143527,0.994,0.996
0,0.143893,0.994,0.994
0,0.146576,0.994,0.992
0,0.14728,0.992,0.992
0,0.156834,0.994,0.992
0,0.15816,0.994,0.994
0,0.158205,0.994,0.992
0,0.173007,0.994,0.99
0,0.173809,0.994,0.988
0,0.179483,0.994,0.99
0,0.181542,0.994,0.988
0,0.18234,0.994,0.986
0,0.207453,0.992,0.986
0,0.244717,0.99,0.986
0,0.245947,0.988,0.986
0,0.251227,0.986,0.986
0,0.253729,0.986,0.984
0,0.264864,0.988,0.984
0,0.279346,0.988,0.982
0,0.302791,0.988,0.98
0,0.308045,0.988,0.982
0,0.326251,0.988,0.984
0,0.33423,0.986,0.984
0,0.338985,0.986,0.982
0,0.343819,0.988,0.982
0,0.34456,0.988,0.98
0,0.354686,0.99,0.98
0,0.360782,0.99,0.978
0,0.360868,0.988,0.978
0,0.387211,0.988,0.976
0,0.406247,0.988,0.974
0,0.41117,0.988,0.972
0,0.416269,0.99,0.972
0,0.433417,0.992,0.972
0,0.4369,0.994,0.972
0,0.438414,0.992,0.972
0,0.438646,0.992,0.974
0,0.442676,0.992,0.976
0,0.452325,0.99,0.976
0,0.455861,0.99,0.974
0,0.46619,0.988,0.974
0,0.468536,0.988,0.972
0,0.471795,0.988,0.97
0,0.475257,0.986,0.97
0,0.47885,0.984,0.97
0,0.485493,0.984,0.968
0,0.527379,0.984,0.966
0,0.529415,0.984,0.964
0,0.541045,0.984,0.962
0,0.542135,0.984,0.96
0,0.543985,0.984,0.962
0,0.564346,0.982,0.962
0,0.567293,0.982,0.96
0,0.568265,0.982,0.962
0,0.569058,0.982,0.96
0,0.570453,0.984,0.96
0,0.574701,0.986,0.96
0,0.584016,0.986,0.958
0,0.590332,0.988,0.958
0,0.59705,0.986,0.958
0,0.599142,0.986,0.956
0,0.604278,0.986,0.954
0,0.605136,0.986,0.952
0,0.612808,0.988,0.952
0,0.613417,0.988,0.954
0,0.621596,0.986,0.954
0,0.623335,0.986,0.956
0,0.638599,0.986,0.954
0,0.644831,0.988,0.954
0,0.645328,0.988,0.952
0,0.646172,0.988,0.95
0,0.665338,0.986,0.95
0,0.665446,0.988,0.95
0,0.666089,0.988,0.948
0,0.666305,0.986,0.948
0,0.682354,0.986,0.946
0,0.683718,0.986,0.944
0,0.685465,0.984,0.944
0,0.688783,0.984,0.942
0,0.692021,0.984,0.94
0,0.699519,0.982,0.94
0,0.718196,0.982,0.942
0,0.720368,0.982,0.944
0,0.732545,0.98,0.944
0,0.73353,0.978,0.944
0,0.734746,0.978,0.942
0,0.741863,0.976,0.942
0,0.741914,0.974,0.942
0,0.742449,0.972,0.942
0,0.761621,0.972,0.94
0,0.767856,0.97,0.94
0,0.770036,0.97,0.938
0,0.7774,0.97,0.94
0,0.778652,0.97,0.938
0,0.778653,0.97,0.94
0,0.780416,0.97,0.942
0,0.790332,0.97,0.94
0,0.814655,0.972,0.94
0,0.817451,0.974,0.94
0,0.826363,0.972,0.94
0,0.828783,0.97,0.94
0,0.846815,0.972,0.94
0,0.846839,0.97,0.94
0,0.851897,0.97,0.938
0,0.862756,0.97,0.936
0,0.8652,0.972,0.936
0,0.868277,0.97,0.936
0,0.877952,0.97,0.934
0,0.879243,0.97,0.936
0,0.890138,0.968,0.936
0,0.893825,0.968,0.934
0,0.907769,0.966,0.934
0,0.908708,0.968,0.934
0,0.918261,0.968,0.932
0,0.932265,0.966,0.932
0,0.934418,0.966,0.93
0,0.939272,0.968,0.93
0,0.947288,0.966,0.93
0,0.9514,0.964,0.93
0,0.95192,0.964,0.928
0,0.961365,0.964,0.926
0,0.965639,0.964,0.924
0,0.967065,0.964,0.922
0,0.979002,0.966,0.922
0,0.984012,0.968,0.922
0,0.992838,0.966,0.922
0,1.01077,0.966,0.92
0,1.01456,0.966,0.918
0,1.02931,0.964,0.918
0,1.0313,0.962,0.918
0,1.03501,0.96,0.918
0,1.04518,0.958,0.918
0,1.06353,0.956,0.918
0,1.06763,0.956,0.92
0,1.07468,0.954,0.92
0,1.07769,0.952,0.92
0,1.07851,0.95,0.92
0,1.07964,0.948,0.92
0,1.08409,0.948,0.922
0,1.09085,0.946,0.922
0,1.09857,0.946,0.924
0,1.10425,0.946,0.922
0,1.11463,0.948,0.922
0,1.11971,0.946,0.922
0,1.12816,0.944,0.922
0,1.12992,0.944,0.92
0,1.14529,0.942,0.92
0,1.14999,0.942,0.922
0,1.15573,0.944,0.922
0,1.16334,0.946,0.922
0,1.16616,0.946,0.92
0,1.17432,0.946,0.922
0,1.20902,0.946,0.92
0,1.21118,0.946,0.918
0,1.21211,0.948,0.918
0,1.21806,0.948,0.92
0,1.22184,0.948,0.918
0,1.22355,0.95,0.918
0,1.22628,0.948,0.918
0,1.22802,0.95,0.918
0,1.23863,0.952,0.918
0,1.24395,0.952,0.916
0,1.24395,0.954,0.916
0,1.24554,0.954,0.914
0,1.24628,0.952,0.914
0,1.25439,0.954,0.914
0,1.25592,0.954,0.912
0,1.27323,0.954,0.914
0,1.27596,0.954,0.916
0,1.28457,0.954,0.918
0,1.28663,0.952,0.918
0,1.28679,0.95,0.918
0,1.30352,0.95,0.916
0,1.30895,0.948,0.916
0,1.31124,0.948,0.918
0,1.31551,0.948,0.916
0,1.33644,0.946,0.916
0,1.34534,0.948,0.916
0,1.34678,0.948,0.918
0,1.36156,0.95,0.918
0,1.3672,0.95,0.92
0,1.37749,0.95,0.922
0,1.4043,0.95,0.924
0,1.40629,0.952,0.924
0,1.45039,0.952,0.926
0,1.45342,0.95,0.926
0,1.45957,0.95,0.924
0,1.46101,0.952,0.924
0,1.46162,0.954,0.924
0,1.46956,0.952,0.924
0,1.48349,0.95,0.924
0,1.4878,0.948,0.924
0,1.50654,0.948,0.926
0,1.51274,0.946,0.926
0,1.51499,0.944,0.926
0,1.5297,0.942,0.926
0,1.53327,0.942,0.924
0,1.53616,0.944,0.924
0,1.53731,0.944,0.922
0,1.53797,0.944,0.92
0,1.54888,0.944,0.918
0,1.55034,0.946,0.918
0,1.55852,0.944,0.918
0,1.56323,0.944,0.916
0,1.56562,0.944,0.914
0,1.56989,0.946,0.914
0,1.57465,0.944,0.914
0,1.57775,0.942,0.914
0,1.58173,0.944,0.914
0,1.59505,0.944,0.916
0,1.61169,0.944,0.918
0,1.61292,0.942,0.918
0,1.62047,0.942,0.916
0,1.62444,0.942,0.914
0,1.62597,0.94,0.914
0,1.62616,0.938,0.914
0,1.64613,0.938,0.916
0,1.65416,0.936,0.916
0,1.65472,0.936,0.918
0,1.6687,0.934,0.918
0,1.69941,0.934,0.92
0,1.70034,0.934,0.922
0,1.70102,0.934,0.92
0,1.70847,0.932,0.92
0,1.72308,0.932,0.918
0,1.72408,0.934,0.918
0,1.74538,0.934,0.92
0,1.76013,0.934,0.922
0,1.76557,0.934,0.92
0,1.76735,0.932,0.92
0,1.76994,0.93,0.92
0,1.7708,0.928,0.92
0,1.77249,0.926,0.92
0,1.77808,0.924,0.92
0,1.77827,0.922,0.92
0,1.79007,0.922,0.918
0,1.80234,0.924,0.918
0,1.80515,0.922,0.918
0,1.80535,0.922,0.916
0,1.80824,0.92,0.916
0,1.81479,0.918,0.916
0,1.81572,0.916,0.916
0,1.81753,0.914,0.916
0,1.82075,0.912,0.916
0,1.83979,0.912,0.914
0,1.85657,0.912,0.912
0,1.87261,0.914,0.912
0,1.87286,0.914,0.91
0,1.87904,0.914,0.908
0,1.87984,0.916,0.908
0,1.88282,0.914,0.908
0,1.88861,0.914,0.906
0,1.89121,0.912,0.906
0,1.90542,0.912,0.904
0,1.92199,0.912,0.902
0,1.93279,0.912,0.9
0,1.93934,0.91,0.9
0,1.94081,0.91,0.902
0,1.94653,0.912,0.902
0,1.94804,0.912,0.904
0,1.94888,0.91,0.904
0,1.9506,0.912,0.904
0,1.95585,0.91,0.904
0,1.96659,0.91,0.906
0,1.99966,0.908,0.906
0,2.00124,0.908,0.904
0,2.00324,0.91,0.904
0,2.01099,0.908,0.904
0,2.02921,0.908,0.902
0,2.03873,0.906,0.902
0,2.04153,0.906,0.9
0,2.04191,0.906,0.898
0,2.06133,0.904,0.898
0,2.06777,0.906,0.898
0,2.09031,0.906,0.896
0,2.09116,0.906,0.898
0,2.10715,0.906,0.9
0,2.11528,0.906,0.898
0,2.11552,0.908,0.898
0,2.12148,0.908,0.9
0,2.126,0.908,0.898
0,2.12656,0.906,0.898
0,2.13798,0.908,0.898
0,2.1498,0.908,0.9
0,2.14987,0.908,0.902
0,2.16974,0.91,0.902
0,2.17136,0.91,0.9
0,2.17798,0.91,0.898
0,2.18682,0.912,0.898
0,2.19468,0.912,0.9
0,2.20426,0.912,0.902
0,2.21872,0.912,0.9
0,2.22033,0.912,0.898
0,2.22199,0.912,0.896
0,2.22801,0.912,0.894
0,2.23108,0.912,0.892
0,2.24013,0.912,0.894
0,2.24638,0.912,0.892
0,2.24776,0.912,0.89
0,2.25051,0.912,0.888
0,2.25795,0.912,0.89
0,2.28313,0.912,0.888
0,2.28347,0.91,0.888
0,2.2903,0.91,0.886
0,2.29219,0.908,0.886
0,2.2924,0.906,0.886
0,2.29257,0.904,0.886
0,2.29986,0.904,0.884
0,2.32472,0.904,0.882
0,2.33186,0.902,0.882
0,2.33531,0.9,0.882
0,2.33584,0.898,0.882
0,2.33644,0.898,0.88
0,2.34348,0.896,0.88
0,2.37633,0.896,0.878
0,2.3799,0.898,0.878
0,2.40105,0.9,0.878
0,2.40426,0.9,0.876
0,2.40891,0.898,0.876
0,2.41385,0.896,0.876
0,2.42128,0.896,0.874
0,2.43033,0.894,0.874
0,2.43442,0.892,0.874
0,2.46537,0.892,0.876
0,2.46565,0.892,0.874
0,2.46603,0.892,0.876
0,2.48157,0.892,0.874
0,2.48604,0.89,0.874
0,2.48953,0.89,0.872
0,2.49803,0.892,0.872
0,2.52169,0.892,0.87
0,2.52185,0.892,0.868
0,2.5406,0.892,0.866
0,2.54458,0.89,0.866
0,2.54774,0.888,0.866
0,2.54942,0.886,0.866
0,2.55793,0.884,0.866
0,2.61078,0.884,0.864
0,2.63154,0.886,0.864
0,2.64005,0.884,0.864
0,2.65558,0.884,0.862
0,2.66409,0.884,0.86
0,2.6681,0.886,0.86
0,2.67918,0.888,0.86
0,2.69022,0.886,0.86
0,2.70265,0.886,0.862
0,2.70298,0.886,0.864
0,2.70408,0.888,0.864
0,2.70451,0.888,0.866
0,2.70702,0.888,0.864
0,2.71157,0.888,0.866
0,2.7118,0.886,0.866
0,2.72088,0.886,0.868
0,2.72116,0.884,0.868
0,2.72479,0.882,0.868
0,2.7257,0.884,0.868
0,2.7291,0.884,0.87
0,2.74206,0.884,0.868
0,2.74818,0.882,0.868
0,2.76085,0.882,0.866
0,2.76908,0.88,0.866
0,2.7738,0.882,0.866
0,2.79626,0.88,0.866
0,2.80164,0.88,0.864
0,2.80181,0.88,0.866
0,2.8151,0.878,0.866
0,2.83997,0.878,0.864
0,2.85894,0.88,0.864
0,2.86311,0.882,0.864
0,2.86762,0.88,0.864
0,2.88772,0.88,0.862
0,2.88995,0.878,0.862
0,2.8905,0.878,0.864
0,2.90435,0.88,0.864
0,2.90445,0.88,0.862
0,2.90562,0.882,0.862
0,2.91304,0.88,0.862
0,2.9208,0.88,0.864
0,2.92585,0.88,0.862
0,2.93038,0.878,0.862
0,2.9316,0.88,0.862
0,2.94242,0.88,0.86
0,2.94769,0.878,0.86
0,2.96833,0.876,0.86
0,2.97789,0.876,0.858
0,2.97924,0.874,0.858
0,2.99035,0.874,0.86
0,2.99579,0.874,0.862
0,2.99988,0.876,0.862
0,3.00079,0.876,0.864
0,3.00162,0.876,0.866
0,3.00203,0.876,0.864
0,3.00802,0.876,0.862
0,3.01758,0.874,0.862
0,3.04819,0.872,0.862
0,3.05207,0.872,0.86
0,3.05491,0.874,0.86
0,3.0606,0.874,0.858
0,3.06065,0.874,0.856
0,3.06396,0.874,0.854
0,3.07278,0.874,0.856
0,3.07321,0.874,0.854
0,3.07596,0.872,0.854
0,3.07694,0.872,0.852
0,3.09197,0.872,0.85
0,3.10041,0.872,0.852
0,3.11543,0.872,0.85
0,3.13741,0.87,0.85
0,3.13811,0.87,0.852
0,3.13921,0.87,0.854
0,3.1415,0.868,0.854
0,3.14262,0.866,0.854
0,3.14426,0.866,0.852
0,3.15095,0.866,0.854
0,3.15698,0.866,0.856
0,3.16207,0.864,0.856
0,3.16586,0.866,0.856
0,3.17326,0.868,0.856
0,3.17529,0.866,0.856
0,3.17978,0.866,0.854
0,3.19323,0.866,0.852
0,3.20879,0.864,0.852
0,3.20895,0.862,0.852
0,3.21993,0.862,0.854
0,3.22047,0.864,0.854
0,3.22304,0.864,0.856
0,3.22456,0.866,0.856
0,3.22815,0.868,0.856
0,3.23388,0.868,0.854
0,3.24154,0.868,0.852
0,3.24589,0.868,0.854
0,3.25108,0.866,0.854
0,3.25385,0.864,0.854
0,3.2556,0.862,0.854
0,3.25932,0.86,0.854
0,3.2596,0.86,0.856
0,3.27078,0.86,0.854
0,3.28154,0.86,0.852
0,3.29365,0.858,0.852
0,3.30573,0.86,0.852
0,3.31024,0.862,0.852
0,3.31511,0.864,0.852
0,3.32004,0.864,0.85
0,3.3216,0.862,0.85
0,3.36245,0.864,0.85
0,3.36899,0.864,0.848
0,3.37175,0.862,0.848
0,3.38012,0.86,0.848
0,3.38167,0.858,0.848
0,3.3855,0.858,0.846
0,3.38879,0.858,0.844
0,3.39621,0.858,0.842
0,3.40881,0.86,0.842
0,3.4093,0.86,0.84
0,3.41364,0.86,0.838
0,3.41769,0.86,0.836
0,3.42405,0.858,0.836
0,3.42708,0.858,0.838
0,3.42961,0.856,0.838
0,3.44464,0.854,0.838
0,3.46622,0.856,0.838
0,3.47517,0.856,0.836
0,3.4798,0.854,0.836
0,3.48763,0.856,0.836
0,3.49475,0.854,0.836
0,3.49714,0.854,0.834
0,3.49777,0.854,0.836
0,3.49811,0.854,0.834
0,3.50511,0.854,0.832
0,3.51281,0.854,0.83
0,3.51847,0.852,0.83
0,3.52411,0.85,0.83
0,3.52426,0.85,0.828
0,3.52789,0.848,0.828
0,3.52949,0.846,0.828
0,3.53214,0.848,0.828
0,3.5323,0.85,0.828
0,3.54135,0.85,0.826
0,3.54832,0.85,0.824
0,3.55239,0.848,0.824
0,3.56672,0.848,0.822
0,3.58839,0.848,0.82
0,3.60372,0.848,0.822
0,3.60706,0.848,0.824
0,3.60921,0.848,0.826
0,3.61321,0.846,0.826
0,3.61331,0.844,0.826
0,3.64311,0.842,0.826
0,3.65941,0.842,0.824
0,3.66011,0.84,0.824
0,3.68107,0.84,0.826
0,3.68114,0.838,0.826
0,3.69309,0.838,0.824
0,3.69957,0.838,0.822
0,3.71043,0.838,0.82
0,3.72241,0.836,0.82
0,3.72454,0.834,0.82
0,3.72859,0.834,0.822
0,3.7294,0.834,0.82
0,3.7326,0.836,0.82
0,3.73795,0.836,0.818
0,3.74278,0.834,0.818
0,3.74686,0.834,0.82
0,3.74918,0.834,0.818
0,3.77135,0.832,0.818
0,3.78728,0.832,0.82
0,3.79517,0.83,0.82
0,3.79737,0.83,0.822
0,3.81751,0.832,0.822
0,3.82876,0.832,0.82
0,3.83106,0.832,0.818
0,3.83127,0.832,0.816
0,3.85194,0.834,0.816
0,3.85729,0.832,0.816
0,3.86449,0.83,0.816
0,3.86475,0.828,0.816
0,3.87687,0.83,0.816
0,3.88015,0.828,0.816
0,3.88974,0.826,0.816
0,3.89205,0.826,0.814
0,3.89466,0.828,0.814
0,3.90871,0.826,0.814
0,3.90959,0.828,0.814
0,3.94698,0.826,0.814
0,3.94914,0.826,0.812
0,3.95752,0.826,0.81
0,3.96175,0.824,0.81
0,3.96303,0.826,0.81
0,3.98304,0.826,0.812
0,3.989,0.826,0.81
0,4.00322,0.824,0.81
0,4.00734,0.824,0.812
