Temps,A,B,AB,ABA,ABAB
0,5,5,0.5,0,0
0.1,4.77843,4.91457,0.29265,0.136132,0.0534503
0.2,4.63935,4.80371,0.198617,0.16436,0.117152
0.3,4.53504,4.69731,0.156049,0.162278,0.168293
0.4,4.44561,4.60075,0.13833,0.155142,0.204862
0.5,4.36243,4.51257,0.132865,0.150143,0.230283
0.6,4.28172,4.4302,0.133481,0.148474,0.248336
0.7,4.20188,4.35148,0.137131,0.149602,0.261879
0.8,4.12225,4.27496,0.142327,0.152715,0.272789
0.9,4.0426,4.19974,0.148348,0.157141,0.282212
1,3.96288,4.12529,0.154858,0.162413,0.290811
1.1,3.8831,4.05133,0.161699,0.168231,0.298954
1.2,3.8033,3.97772,0.168802,0.174413,0.306836
1.3,3.72353,3.90438,0.176136,0.180847,0.314556
1.4,3.64385,3.83132,0.183689,0.18747,0.322156
1.5,3.5643,3.75854,0.191454,0.194239,0.329652
1.6,3.48495,3.68608,0.199426,0.201128,0.337043
1.7,3.40585,3.61397,0.207601,0.208116,0.344319
1.8,3.32707,3.54225,0.215973,0.215187,0.351469
1.9,3.24866,3.47098,0.224536,0.222325,0.358475
2,3.17069,3.40021,0.233281,0.229515,0.365324
2.1,3.09324,3.32998,0.2422,0.236743,0.371998
2.2,3.01637,3.26036,0.251281,0.243992,0.378482
2.3,2.94014,3.19139,0.260514,0.251246,0.384759
2.4,2.86465,3.12314,0.269884,0.258488,0.390816
2.5,2.78995,3.05565,0.279377,0.2657,0.396638
2.6,2.71612,2.98899,0.288977,0.272866,0.402212
2.7,2.64325,2.92321,0.298668,0.279966,0.407526
2.8,2.57139,2.85837,0.30843,0.286982,0.412568
2.9,2.50062,2.79452,0.318246,0.293895,0.41733
3,2.43102,2.7317,0.328096,0.300688,0.421802
3.1,2.36264,2.66998,0.337957,0.307341,0.425978
3.2,2.29556,2.6094,0.347809,0.313837,0.429852
3.3,2.22983,2.54999,0.357631,0.320159,0.433419
3.4,2.16552,2.49181,0.367398,0.32629,0.436676
3.5,2.10268,2.43489,0.37709,0.332216,0.439622
3.6,2.04135,2.37927,0.386683,0.33792,0.442256
3.7,1.98158,2.32497,0.396156,0.34339,0.44458
3.8,1.9234,2.27202,0.405485,0.348614,0.446595
3.9,1.86686,2.22044,0.414651,0.353581,0.448306
4,1.81197,2.17025,0.423632,0.358282,0.449717
4.1,1.75876,2.12147,0.432408,0.362709,0.450833
4.2,1.70724,2.0741,0.440962,0.366856,0.45166
4.3,1.65742,2.02814,0.449274,0.370718,0.452206
4.4,1.60931,1.9836,0.457331,0.374292,0.452479
4.5,1.5629,1.94047,0.465116,0.377577,0.452487
4.6,1.51818,1.89875,0.472616,0.380572,0.45224
4.7,1.47514,1.85842,0.479821,0.38328,0.451745
4.8,1.43376,1.81947,0.48672,0.385702,0.451014
4.9,1.39403,1.78187,0.493304,0.387843,0.450056
5,1.35591,1.74561,0.499568,0.389708,0.448881
5.1,1.31937,1.71067,0.505505,0.391303,0.447499
5.2,1.28438,1.67701,0.511113,0.392635,0.44592
5.3,1.2509,1.64461,0.51639,0.393712,0.444154
5.4,1.2189,1.61344,0.521336,0.394542,0.442211
5.5,1.18833,1.58346,0.52595,0.395135,0.440101
5.6,1.15914,1.55464,0.530236,0.3955,0.437833
5.7,1.13131,1.52695,0.534196,0.395646,0.435416
5.8,1.10476,1.50035,0.537835,0.395585,0.432861
5.9,1.07948,1.4748,0.54116,0.395326,0.430175
6,1.05539,1.45027,0.544174,0.39488,0.427367
6.1,1.03246,1.42672,0.546887,0.394256,0.424445
6.2,1.01065,1.40411,0.549306,0.393465,0.421418
6.3,0.989898,1.38242,0.551439,0.392518,0.418294
6.4,0.970166,1.36159,0.553294,0.391422,0.415079
6.5,0.951407,1.3416,0.554881,0.39019,0.411781
6.6,0.933578,1.32241,0.556209,0.388828,0.408407
6.7,0.916634,1.30398,0.557288,0.387347,0.404964
6.8,0.900535,1.28629,0.558128,0.385754,0.401457
6.9,0.885238,1.2693,0.558737,0.384059,0.397893
7,0.870706,1.25297,0.559127,0.382269,0.394278
7.1,0.856898,1.23729,0.559307,0.380391,0.390617
7.2,0.84378,1.22221,0.559286,0.378432,0.386916
7.3,0.831315,1.20771,0.559074,0.376399,0.383179
7.4,0.819469,1.19377,0.55868,0.374299,0.379412
7.5,0.80821,1.18035,0.558114,0.372137,0.375618
7.6,0.797507,1.16743,0.557384,0.369919,0.371802
7.7,0.787331,1.15498,0.556499,0.36765,0.367968
7.8,0.777652,1.14299,0.555468,0.365335,0.36412
7.9,0.768444,1.13142,0.554298,0.362979,0.360262
8,0.759681,1.12027,0.552997,0.360586,0.356397
8.1,0.751339,1.1095,0.551574,0.35816,0.352528
8.2,0.743395,1.0991,0.550034,0.355706,0.348659
8.3,0.735827,1.08905,0.548386,0.353225,0.344791
8.4,0.728613,1.07934,0.546636,0.350723,0.340929
8.5,0.721735,1.06994,0.54479,0.348201,0.337074
8.6,0.715174,1.06084,0.542854,0.345663,0.333228
8.7,0.708912,1.05202,0.540835,0.34311,0.329395
8.8,0.702932,1.04348,0.538738,0.340547,0.325576
8.9,0.697218,1.03519,0.536567,0.337974,0.321772
9,0.691756,1.02715,0.534329,0.335395,0.317987
9.1,0.686532,1.01934,0.532028,0.33281,0.31422
9.2,0.681533,1.01176,0.529668,0.330223,0.310475
9.3,0.676745,1.00438,0.527254,0.327633,0.306752
9.4,0.672157,0.997201,0.52479,0.325044,0.303052
9.5,0.667759,0.990215,0.522279,0.322456,0.299378
9.6,0.663539,0.983409,0.519726,0.319871,0.295729
9.7,0.659487,0.976777,0.517134,0.317289,0.292108
9.8,0.655595,0.970308,0.514506,0.314713,0.288514
9.9,0.651854,0.963997,0.511845,0.312143,0.284949
10,0.648254,0.957835,0.509154,0.30958,0.281414
10.1,0.64479,0.951815,0.506437,0.307026,0.277909
10.2,0.641452,0.945932,0.503695,0.30448,0.274434
10.3,0.638235,0.940178,0.500931,0.301943,0.270991
10.4,0.635132,0.934549,0.498147,0.299417,0.26758
10.5,0.632136,0.929038,0.495346,0.296902,0.264202
10.6,0.629242,0.92364,0.49253,0.294398,0.260856
10.7,0.626445,0.918351,0.4897,0.291906,0.257543
10.8,0.623739,0.913166,0.486858,0.289427,0.254263
10.9,0.62112,0.90808,0.484007,0.28696,0.251018
11,0.618582,0.90309,0.481147,0.284508,0.247805
11.1,0.616122,0.898191,0.478281,0.282069,0.244627
11.2,0.613736,0.89338,0.47541,0.279644,0.241483
11.3,0.61142,0.888653,0.472534,0.277233,0.238373
11.4,0.60917,0.884007,0.469656,0.274838,0.235297
