Temps,A,B,C,AB,ABA,ABAB,ABC,ABCB,CB,CBC,CBCB
0,1.66667,1.66667,1.66667,0.166667,0,0,0,0,0,0,0
0.1,1.64265,1.66473,1.66638,0.138326,0.0220872,0.00393883,0.000156829,1.29736e-05,4.22337e-07,2.16581e-08,1.01355e-14
0.2,1.62462,1.66032,1.66612,0.118287,0.035747,0.00917573,0.000267001,4.33339e-05,2.88334e-06,2.36997e-07,1.53403e-08
0.3,1.61062,1.65468,1.66588,0.10419,0.0441517,0.0146966,0.000346213,8.21054e-05,8.22955e-06,9.80247e-07,9.7075e-08
0.4,1.59932,1.64849,1.66565,0.0943991,0.0493202,0.0199576,0.000405046,0.000123903,1.65804e-05,2.57655e-06,3.37325e-07
0.5,1.58983,1.64216,1.66543,0.0877465,0.0525333,0.0247055,0.000450615,0.000165654,2.77087e-05,5.27313e-06,8.53288e-07
0.6,1.58154,1.63588,1.66521,0.0833898,0.0545976,0.0288576,0.000487683,0.00020574,4.12567e-05,9.22675e-06,1.76903e-06
0.7,1.57404,1.62973,1.665,0.0807148,0.056016,0.0324253,0.000519419,0.000243434,5.68521e-05,1.45157e-05,3.20121e-06
0.8,1.56704,1.62375,1.66478,0.0792719,0.0570971,0.0354666,0.000547916,0.000278537,7.41645e-05,2.11598e-05,5.25019e-06
0.9,1.56035,1.61793,1.66456,0.0787315,0.0580262,0.0380577,0.000574542,0.000311142,9.29276e-05,2.91402e-05,7.99597e-06
1,1.55383,1.61222,1.66435,0.0788524,0.0589109,0.040278,0.000600178,0.000341491,0.000112942,3.84166e-05,1.14975e-05
1.1,1.54739,1.60662,1.66413,0.0794584,0.0598106,0.0422007,0.000625386,0.000369888,0.000134068,4.8939e-05,1.57947e-05
1.2,1.54097,1.60107,1.6639,0.0804214,0.0607554,0.0438902,0.000650516,0.000396647,0.000156218,6.06574e-05,2.09107e-05
1.3,1.53454,1.59557,1.66367,0.0816484,0.0617582,0.0454004,0.000675782,0.000422062,0.000179343,7.35262e-05,2.6856e-05
1.4,1.52805,1.59007,1.66344,0.0830724,0.0628219,0.0467752,0.000701314,0.0004464,0.000203425,8.75079e-05,3.36314e-05
1.5,1.5215,1.58457,1.6632,0.0846453,0.0639445,0.0480498,0.000727185,0.000469891,0.000228467,0.000102574,4.12309e-05
1.6,1.51488,1.57903,1.66296,0.0863326,0.0651212,0.0492515,0.000753439,0.000492731,0.000254486,0.000118704,4.96443e-05
1.7,1.50817,1.57346,1.66272,0.0881098,0.0663466,0.0504018,0.000780101,0.000515085,0.000281511,0.000135888,5.88594e-05
1.8,1.50137,1.56784,1.66247,0.0899597,0.0676153,0.0515168,0.000807186,0.000537088,0.000309573,0.000154123,6.88633e-05
1.9,1.49448,1.56217,1.66221,0.0918701,0.0689223,0.0526089,0.000834704,0.000558854,0.00033871,0.000173411,7.96435e-05
2,1.48749,1.55643,1.66195,0.0938323,0.0702634,0.053687,0.000862666,0.000580476,0.000368958,0.000193761,9.11887e-05
2.1,1.48042,1.55063,1.66169,0.0958406,0.0716349,0.0547581,0.000891082,0.000602031,0.000400355,0.000215186,0.000103489
2.2,1.47325,1.54475,1.66142,0.0978906,0.0730338,0.0558271,0.000919963,0.000623584,0.000432938,0.000237703,0.000116537
2.3,1.46599,1.53881,1.66114,0.0999797,0.0744578,0.0568975,0.000949324,0.000645189,0.000466743,0.000261332,0.000130325
2.4,1.45863,1.53279,1.66086,0.102106,0.0759048,0.0579719,0.00097918,0.000666892,0.000501805,0.000286094,0.000144851
2.5,1.45119,1.5267,1.66057,0.104267,0.0773732,0.059052,0.00100955,0.000688734,0.000538157,0.000312015,0.00016011
2.6,1.44365,1.52054,1.66028,0.106464,0.0788618,0.0601391,0.00104044,0.000710749,0.000575834,0.000339119,0.000176103
2.7,1.43603,1.5143,1.65998,0.108694,0.0803694,0.0612339,0.00107189,0.000732969,0.000614865,0.000367433,0.000192829
2.8,1.42832,1.50799,1.65968,0.110957,0.0818952,0.062337,0.0011039,0.000755422,0.000655283,0.000396986,0.00021029
