Temps,A,B
0,1,1
0.1,0.995025,0.995025
0.2,0.990099,0.990099
0.3,0.985223,0.985223
0.4,0.980395,0.980395
0.5,0.975615,0.975615
0.6,0.970882,0.970882
0.7,0.966197,0.966197
0.8,0.961558,0.961558
0.9,0.956966,0.956966
1,0.952419,0.952419
1.1,0.947917,0.947917
1.2,0.94346,0.94346
1.3,0.939048,0.939048
1.4,0.934679,0.934679
1.5,0.930354,0.930354
1.6,0.926072,0.926072
1.7,0.921832,0.921832
1.8,0.917635,0.917635
1.9,0.91348,0.91348
2,0.909365,0.909365
2.1,0.905292,0.905292
2.2,0.901259,0.901259
2.3,0.897267,0.897267
2.4,0.893314,0.893314
2.5,0.8894,0.8894
2.6,0.885526,0.885526
2.7,0.88169,0.88169
2.8,0.877892,0.877892
2.9,0.874132,0.874132
3,0.870409,0.870409
3.1,0.866723,0.866723
3.2,0.863075,0.863075
3.3,0.859462,0.859462
3.4,0.855885,0.855885
3.5,0.852344,0.852344
3.6,0.848838,0.848838
3.7,0.845367,0.845367
3.8,0.841931,0.841931
3.9,0.838528,0.838528
4,0.83516,0.83516
4.1,0.831825,0.831825
4.2,0.828523,0.828523
4.3,0.825255,0.825255
4.4,0.822018,0.822018
4.5,0.818814,0.818814
4.6,0.815642,0.815642
4.7,0.812501,0.812501
4.8,0.809392,0.809392
4.9,0.806313,0.806313
5,0.803265,0.803265
5.1,0.800248,0.800248
5.2,0.79726,0.79726
5.3,0.794302,0.794302
5.4,0.791374,0.791374
5.5,0.788475,0.788475
5.6,0.785605,0.785605
5.7,0.782763,0.782763
5.8,0.779949,0.779949
5.9,0.777164,0.777164
6,0.774406,0.774406
6.1,0.771675,0.771675
6.2,0.768972,0.768972
6.3,0.766296,0.766296
6.4,0.763646,0.763646
6.5,0.761023,0.761023
6.6,0.758426,0.758426
6.7,0.755854,0.755854
6.8,0.753308,0.753308
6.9,0.750788,0.750788
7,0.748293,0.748293
7.1,0.745822,0.745822
7.2,0.743376,0.743376
7.3,0.740954,0.740954
7.4,0.738557,0.738557
7.5,0.736183,0.736183
7.6,0.733833,0.733833
7.7,0.731507,0.731507
7.8,0.729203,0.729203
7.9,0.726922,0.726922
8,0.724664,0.724664
8.1,0.722429,0.722429
8.2,0.720216,0.720216
8.3,0.718025,0.718025
8.4,0.715855,0.715855
8.5,0.713707,0.713707
8.6,0.711581,0.711581
8.7,0.709476,0.709476
8.8,0.707391,0.707391
8.9,0.705328,0.705328
9,0.703285,0.703285
9.1,0.701262,0.701262
9.2,0.69926,0.69926
9.3,0.697277,0.697277
9.4,0.695314,0.695314
9.5,0.693371,0.693371
9.6,0.691446,0.691446
9.7,0.689542,0.689542
9.8,0.687656,0.687656
9.9,0.685788,0.685788
10,0.68394,0.68394
10.1,0.682109,0.682109
10.2,0.680297,0.680297
10.3,0.678503,0.678503
10.4,0.676727,0.676727
10.5,0.674969,0.674969
10.6,0.673228,0.673228
10.7,0.671504,0.671504
10.8,0.669798,0.669798
10.9,0.668108,0.668108
11,0.666436,0.666436
11.1,0.664779,0.664779
11.2,0.66314,0.66314
11.3,0.661517,0.661517
11.4,0.65991,0.65991
11.5,0.658318,0.658318
11.6,0.656743,0.656743
11.7,0.655183,0.655183
11.8,0.653639,0.653639
11.9,0.652111,0.652111
12,0.650597,0.650597
12.1,0.649099,0.649099
12.2,0.647615,0.647615
12.3,0.646146,0.646146
12.4,0.644692,0.644692
12.5,0.643252,0.643252
12.6,0.641827,0.641827
12.7,0.640416,0.640416
12.8,0.639019,0.639019
12.9,0.637635,0.637635
13,0.636266,0.636266
13.1,0.63491,0.63491
13.2,0.633568,0.633568
13.3,0.632239,0.632239
13.4,0.630923,0.630923
13.5,0.62962,0.62962
13.6,0.62833,0.62833
13.7,0.627053,0.627053
13.8,0.625789,0.625789
13.9,0.624538,0.624538
14,0.623298,0.623298
14.1,0.622072,0.622072
14.2,0.620857,0.620857
14.3,0.619654,0.619654
14.4,0.618464,0.618464
14.5,0.617285,0.617285
14.6,0.616118,0.616118
14.7,0.614963,0.614963
14.8,0.613819,0.613819
14.9,0.612686,0.612686
15,0.611565,0.611565
15.1,0.610455,0.610455
15.2,0.609356,0.609356
15.3,0.608268,0.608268
15.4,0.607191,0.607191
15.5,0.606124,0.606124
15.6,0.605068,0.605068
15.7,0.604023,0.604023
15.8,0.602988,0.602988
15.9,0.601963,0.601963
16,0.600948,0.600948
16.1,0.599944,0.599944
16.2,0.598949,0.598949
16.3,0.597965,0.597965
16.4,0.59699,0.59699
16.5,0.596025,0.596025
16.6,0.595069,0.595069
16.7,0.594124,0.594124
16.8,0.593187,0.593187
16.9,0.59226,0.59226
17,0.591342,0.591342
17.1,0.590433,0.590433
17.2,0.589533,0.589533
17.3,0.588642,0.588642
17.4,0.58776,0.58776
17.5,0.586887,0.586887
17.6,0.586022,0.586022
17.7,0.585166,0.585166
17.8,0.584319,0.584319
17.9,0.58348,0.58348
18,0.582649,0.582649
18.1,0.581827,0.581827
18.2,0.581013,0.581013
18.3,0.580207,0.580207
18.4,0.579409,0.579409
18.5,0.578619,0.578619
18.6,0.577836,0.577836
18.7,0.577062,0.577062
18.8,0.576295,0.576295
18.9,0.575536,0.575536
19,0.574784,0.574784
19.1,0.57404,0.57404
19.2,0.573303,0.573303
19.3,0.572574,0.572574
19.4,0.571852,0.571852
19.5,0.571137,0.571137
19.6,0.570429,0.570429
19.7,0.569728,0.569728
19.8,0.569035,0.569035
19.9,0.568348,0.568348
20,0.567668,0.567668
20.1,0.566994,0.566994
20.2,0.566328,0.566328
20.3,0.565668,0.565668
20.4,0.565014,0.565014
20.5,0.564367,0.564367
20.6,0.563727,0.563727
20.7,0.563093,0.563093
20.8,0.562465,0.562465
20.9,0.561844,0.561844
21,0.561228,0.561228
21.1,0.560619,0.560619
21.2,0.560016,0.560016
21.3,0.559419,0.559419
21.4,0.558827,0.558827
21.5,0.558242,0.558242
21.6,0.557663,0.557663
21.7,0.557089,0.557089
21.8,0.556521,0.556521
21.9,0.555958,0.555958
22,0.555402,0.555402
22.1,0.55485,0.55485
22.2,0.554305,0.554305
22.3,0.553764,0.553764
22.4,0.553229,0.553229
22.5,0.5527,0.5527
22.6,0.552175,0.552175
22.7,0.551656,0.551656
22.8,0.551142,0.551142
22.9,0.550633,0.550633
23,0.550129,0.550129
23.1,0.549631,0.549631
23.2,0.549137,0.549137
23.3,0.548648,0.548648
23.4,0.548164,0.548164
23.5,0.547685,0.547685
23.6,0.54721,0.54721
23.7,0.54674,0.54674
23.8,0.546275,0.546275
23.9,0.545815,0.545815
24,0.545359,0.545359
24.1,0.544908,0.544908
24.2,0.544461,0.544461
24.3,0.544018,0.544018
24.4,0.54358,0.54358
24.5,0.543147,0.543147
24.6,0.542717,0.542717
24.7,0.542292,0.542292
24.8,0.541872,0.541872
24.9,0.541455,0.541455
25,0.541042,0.541042
25.1,0.540634,0.540634
25.2,0.54023,0.54023
25.3,0.53983,0.53983
25.4,0.539433,0.539433
25.5,0.539041,0.539041
25.6,0.538652,0.538652
25.7,0.538268,0.538268
25.8,0.537887,0.537887
25.9,0.53751,0.53751
26,0.537137,0.537137
26.1,0.536767,0.536767
26.2,0.536401,0.536401
26.3,0.536039,0.536039
26.4,0.535681,0.535681
26.5,0.535326,0.535326
26.6,0.534974,0.534974
26.7,0.534626,0.534626
26.8,0.534282,0.534282
26.9,0.53394,0.53394
27,0.533603,0.533603
27.1,0.533268,0.533268
27.2,0.532937,0.532937
27.3,0.53261,0.53261
27.4,0.532285,0.532285
27.5,0.531964,0.531964
27.6,0.531646,0.531646
27.7,0.531331,0.531331
27.8,0.531019,0.531019
27.9,0.530711,0.530711
28,0.530405,0.530405
28.1,0.530102,0.530102
28.2,0.529803,0.529803
28.3,0.529506,0.529506
28.4,0.529213,0.529213
28.5,0.528922,0.528922
28.6,0.528634,0.528634
28.7,0.528349,0.528349
28.8,0.528067,0.528067
28.9,0.527788,0.527788
29,0.527512,0.527512
29.1,0.527238,0.527238
29.2,0.526967,0.526967
29.3,0.526699,0.526699
29.4,0.526433,0.526433
29.5,0.52617,0.52617
29.6,0.525909,0.525909
29.7,0.525652,0.525652
29.8,0.525396,0.525396
29.9,0.525144,0.525144
30,0.524894,0.524894
30.1,0.524646,0.524646
30.2,0.524401,0.524401
30.3,0.524158,0.524158
30.4,0.523917,0.523917
30.5,0.523679,0.523679
30.6,0.523444,0.523444
30.7,0.523211,0.523211
30.8,0.52298,0.52298
30.9,0.522751,0.522751
31,0.522525,0.522525
31.1,0.5223,0.5223
31.2,0.522079,0.522079
31.3,0.521859,0.521859
31.4,0.521641,0.521641
31.5,0.521426,0.521426
31.6,0.521213,0.521213
31.7,0.521002,0.521002
31.8,0.520793,0.520793
31.9,0.520586,0.520586
32,0.520381,0.520381
32.1,0.520178,0.520178
32.2,0.519978,0.519978
32.3,0.519779,0.519779
32.4,0.519582,0.519582
32.5,0.519387,0.519387
32.6,0.519194,0.519194
32.7,0.519003,0.519003
32.8,0.518814,0.518814
32.9,0.518627,0.518627
33,0.518442,0.518442
33.1,0.518258,0.518258
33.2,0.518076,0.518076
33.3,0.517897,0.517897
33.4,0.517718,0.517718
33.5,0.517542,0.517542
33.6,0.517368,0.517368
33.7,0.517195,0.517195
33.8,0.517024,0.517024
33.9,0.516854,0.516854
34,0.516687,0.516687
34.1,0.516521,0.516521
34.2,0.516356,0.516356
34.3,0.516193,0.516193
34.4,0.516032,0.516032
34.5,0.515873,0.515873
34.6,0.515715,0.515715
34.7,0.515559,0.515559
34.8,0.515404,0.515404
34.9,0.51525,0.51525
35,0.515099,0.515099
35.1,0.514948,0.514948
35.2,0.5148,0.5148
35.3,0.514652,0.514652
35.4,0.514507,0.514507
35.5,0.514362,0.514362
35.6,0.514219,0.514219
35.7,0.514078,0.514078
35.8,0.513938,0.513938
35.9,0.513799,0.513799
36,0.513662,0.513662
36.1,0.513526,0.513526
36.2,0.513391,0.513391
36.3,0.513258,0.513258
36.4,0.513126,0.513126
36.5,0.512996,0.512996
36.6,0.512866,0.512866
36.7,0.512738,0.512738
36.8,0.512611,0.512611
36.9,0.512486,0.512486
37,0.512362,0.512362
37.1,0.512239,0.512239
37.2,0.512117,0.512117
37.3,0.511996,0.511996
37.4,0.511877,0.511877
37.5,0.511759,0.511759
37.6,0.511642,0.511642
37.7,0.511526,0.511526
37.8,0.511411,0.511411
37.9,0.511298,0.511298
38,0.511185,0.511185
38.1,0.511074,0.511074
38.2,0.510964,0.510964
38.3,0.510855,0.510855
38.4,0.510747,0.510747
38.5,0.51064,0.51064
38.6,0.510534,0.510534
38.7,0.510429,0.510429
38.8,0.510325,0.510325
38.9,0.510223,0.510223
39,0.510121,0.510121
39.1,0.51002,0.51002
39.2,0.509921,0.509921
39.3,0.509822,0.509822
39.4,0.509724,0.509724
39.5,0.509627,0.509627
39.6,0.509532,0.509532
39.7,0.509437,0.509437
39.8,0.509343,0.509343
39.9,0.50925,0.50925
40,0.509158,0.509158
40.1,0.509067,0.509067
40.2,0.508976,0.508976
40.3,0.508887,0.508887
40.4,0.508799,0.508799
40.5,0.508711,0.508711
40.6,0.508625,0.508625
40.7,0.508539,0.508539
40.8,0.508454,0.508454
40.9,0.50837,0.50837
41,0.508286,0.508286
41.1,0.508204,0.508204
41.2,0.508122,0.508122
41.3,0.508041,0.508041
41.4,0.507961,0.507961
41.5,0.507882,0.507882
41.6,0.507804,0.507804
41.7,0.507726,0.507726
41.8,0.507649,0.507649
41.9,0.507573,0.507573
